key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:inventor,key:project
invention-22,TK00-abc18,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://example.org/a/b?a&b",true,inventor-01,
invention-23,TK00-abc19,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://example.org/",true,inventor-01,
invention-24,TK00-abc20,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://example.org/a/b?",true,inventor-01,
invention-25,TK00-abc21,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://example.org/a/b",true,inventor-01,
invention-26,TK00-abc22,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://example.org/a",true,inventor-01,
invention-27,TK00-abc23,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://example.org?a&b",true,inventor-01,
invention-28,TK00-abc24,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://example.org?a",true,inventor-01,
invention-29,TK00-abc25,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://example.org?",true,inventor-01,
invention-30,TK00-abc26,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://example.org?a=1&b=2",true,inventor-01,
invention-31,TK00-abc27,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://www.lorem-ipsum.org/dolor/sit.html#dolor",true,inventor-01,
invention-32,TK00-abc28,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://www.lorem-ipsum.org/dolor/sit.html",true,inventor-01,
invention-33,TK00-abc29,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://www.lorem-ipsum.org",true,inventor-01,
invention-34,TK00-abc30,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",true,inventor-01,
invention-35,TK00-abc31,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",true,inventor-01,
invention-36,TK00-abc32,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,,true,inventor-01,
# more-info - no singular values
# draft-mode - standard variations
invention-37,TK00-abc33,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-01,
# draft-mode - no singular values
# inventor - standard variations
invention-38,TK00-abc34,"Invention","Description of invention",2025/01/01 00:01,2200/12/31 23:59,http://www.acme.com/inventions,true,inventor-02,
# inventor - no singular values
